Argument ID,Worker ID,Premise,simplified_Value_lvl2_ann
A12002,W015,"minors should be allowed plastic surgery, so long as they get consent from their parents and the plastic surgeon.","[0, 0, 0, 0, 0, 1, 1, 0]"
A12003,W015,students should be able to pursue higher education without worrying about being able to afford it. subsidizing students loans would make education more accessible.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12004,W015,economic sanctions is bullying and it will not result in the country complying or changing their policies.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12052,W015,homeopathy can  sometimes help those that modern medicine has failed.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12053,W015,we should not ban factory farming because it helps to keep up with demand for food.,"[1, 0, 0, 1, 0, 0, 0, 0]"
A12066,W015,human cloning gives the chance for individuals to have a child that might not otherwise be able to,"[1, 0, 0, 0, 1, 0, 0, 0]"
A12067,W015,zoos should be abolished so that animals can thrive in a setting that allows them to roam free,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12068,W015,"studen loans cannot be subsidised as not only is it unaffordable in the current climate, it would encourage universities offer degree courses purely for financial gain.","[0, 0, 1, 0, 0, 0, 0, 0]"
A12069,W015,judicial activism is sometimes the best way to get things done,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12070,W015,the blockade of the gaza strip only serves to harm innocents who happen to live in the area.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12071,W015,whaling should be allowed when it will help to revive dwindling fish populations.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12078,W015,"even if an algorithm can react quicker than a person, it can't predict markets accurately","[1, 0, 0, 0, 0, 0, 0, 0]"
A12087,W015,a multi-party system allows for more options and candidates that are more in line with certain populations as not everyone has the same political views.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A12088,W015,"The death penalty is an old-fashioned, outdated, inhumane practice and must be abolished","[1, 0, 1, 0, 0, 0, 0, 0]"
A12089,W015,we should abolish zoos because it dangerous and not good for the animals to be out of their natural habitat just for the purpose of human entertainment,"[1, 0, 0, 0, 0, 1, 0, 0]"
A12090,W015,parents should be able to choose what sex child they are going to have.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A12131,W015,factory farming reduces the cost of food,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12136,W015,some people can not be rehabilitated and will only continue their violent acts unless they are put to death.,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12138,W015,homeopathy provides an alternative and hope for people for when all traditional medicine has failed.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A12140,W015,"if people feel personal satisfaction within scientology, i do not see why we have to prohibit it.","[0, 0, 0, 0, 1, 0, 1, 0]"
A12146,W015,we should ban the church of scientology because they brainwash their members into giving them huge sums of money.,"[0, 0, 0, 0, 0, 1, 1, 0]"
A12147,W015,"any argument that denies proven facts is classed as hate speech, not only is this toxic but it is also a verbal & mental attack, nobody seems to have this issue with the german's, so why is this any different?","[1, 0, 0, 0, 0, 1, 0, 0]"
A12148,W015,we should not ban cosmetic surgery because there are some people that are seriously need it done to improve their lifestyles,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12149,W015,television causes eye problems due to watching a screen,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12236,W015,A multi-party system allows for greater choice in whom to vote for.  It allows each citizen to vote for the party that best fits their beliefs and represents their ideology.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A12317,W015,we shouldn't ban private military companies as they are doing a job and keeping people safe,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12318,W015,an austerity regime is the most effective way to reduce the national debt.,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12319,W015,we shouldn't abolish the three strikes law because it is necessary to ensure society understands the ramifications of repeated ill behavior. three felonies is just about enough as far as i'm concerned.,"[1, 0, 0, 0, 0, 0, 0, 1]"
A12438,W015,legal organ trade would help prevent wait lists,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12439,W015,"The true purposes of telemarketing are to pressure feeble-minded people into buying things they don't really want, and to make it easier to get away with fraud","[0, 0, 0, 0, 0, 1, 0, 0]"
A12440,W015,legalising prostitution can only be beneficial to the sex workers and their clients from a safety and health point of view.,"[0, 1, 1, 0, 0, 0, 0, 0]"
